"modul","semester","termin","pruefer","anzahl","bestanden","nichtBestanden","schnitt","schnittBestanden","X1_0","X1_3","X1_7","X2_0","X2_3","X2_7","X3_0","X3_3","X3_7","X4_0","X5_0","ohneNote"
269,57,"21.10.2013","Martinez-Zarzoso",18,15,3,2.967,2.56,NA,NA,NA,5.6,5.6,5.6,5.6,NA,5.6,NA,16.7,NA
269,57,"08.07.2013","Martinez-Zarzoso",12,9,3,3.017,2.356,NA,NA,8.3,NA,8.3,NA,NA,NA,NA,NA,25,NA
269,59,"23.10.2014","Martinez-Zarzoso",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,59,"24.07.2014","Martinez-Zarzoso",18,18,0,2.478,2.478,5.6,11.1,5.6,11.1,11.1,16.7,16.7,16.7,5.6,NA,NA,NA
269,61,"26.10.2015","Martinez-Zarzoso",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,61,"13.07.2015","Martinez-Zarzoso",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,57,"09.07.2013","Martinez-Zarzoso",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,59,"21.07.2014","Martinez-Zarzoso",19,18,1,2.563,2.428,NA,10.5,10.5,5.3,NA,NA,NA,NA,NA,21.1,5.3,NA
270,61,"14.07.2015","Martinez-Zarzoso",13,11,2,2.762,2.355,NA,NA,NA,15.4,NA,NA,NA,NA,NA,15.4,15.4,NA
319,53,"29.06.2011","Geishecker",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,57,"07.06.2013","Geishecker",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,52,"12.04.2011","Sautter",24,19,5,2.863,2.3,8.3,4.2,4.2,25,12.5,8.3,4.2,NA,8.3,4.2,20.8,NA
327,52,"11.02.2011","Sautter",24,19,5,2.761,2.289,8.3,4.2,12.5,12.5,4.2,16.7,12.5,4.2,4.2,NA,16.7,4.2
327,54,"17.04.2012","Sautter",18,18,0,2.494,2.494,5.6,11.1,NA,22.2,11.1,16.7,5.6,16.7,5.6,5.6,NA,NA
327,54,"10.02.2012","Sautter",22,17,5,2.895,2.276,NA,9.1,13.6,18.2,13.6,13.6,NA,NA,NA,9.1,22.7,NA
327,56,"09.04.2013","Sautter",13,11,2,2.877,2.491,15.4,NA,NA,7.7,7.7,23.1,15.4,7.7,7.7,NA,15.4,NA
327,56,"08.02.2013","Sautter",17,17,0,2.229,2.229,5.9,11.8,11.8,23.5,11.8,11.8,5.9,17.6,NA,NA,NA,NA
327,58,"25.04.2014","Sautter",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,58,"21.02.2014","Sautter",10,10,0,2.13,2.13,NA,20,20,20,20,NA,10,NA,10,NA,NA,NA
327,60,"17.04.2015","Sautter",19,17,2,2.426,2.124,NA,10.5,31.6,21.1,10.5,NA,5.3,NA,5.3,5.3,10.5,NA
327,60,"20.02.2015","Sautter",18,18,0,2.161,2.161,NA,5.6,5.6,38.9,33.3,16.7,NA,NA,NA,NA,NA,NA
337,56,"24.01.2013","Martinez-Zarzoso",15,10,5,2.853,1.78,NA,6.7,13.3,6.7,6.7,NA,NA,NA,NA,NA,33.3,NA
337,58,"05.11.2013","Martinez-Zarzoso",18,15,3,2.4,1.88,5.6,22.2,5.6,22.2,16.7,11.1,NA,NA,NA,NA,16.7,NA
337,60,"29.10.2014","Martinez-Zarzoso",18,13,5,2.928,2.131,NA,11.1,11.1,11.1,16.7,22.2,NA,NA,NA,NA,27.8,NA
337,62,"11.11.2015","Martinez-Zarzoso",14,12,2,2.6,2.2,NA,14.3,14.3,14.3,7.1,28.6,NA,7.1,NA,NA,14.3,NA
338,52,"04.04.2011","Dreher",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,52,"07.02.2011","Dreher",10,9,1,2.37,2.078,NA,10,20,30,10,10,10,NA,NA,NA,10,NA
381,53,"01.11.2011","Ohr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,53,"26.07.2011","Ohr",25,24,1,2.28,2.167,4,16,NA,32,12,NA,8,NA,NA,NA,4,NA
381,55,"16.10.2012","Ohr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,55,"31.07.2012","Ohr",27,27,0,2.185,2.185,7.4,7.4,11.1,25.9,14.8,18.5,7.4,7.4,NA,NA,NA,NA
381,57,"14.10.2013","Ohr",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,57,"22.07.2013","Ohr",29,29,0,2.124,2.124,6.9,10.3,17.2,17.2,20.7,13.8,6.9,6.9,NA,NA,NA,NA
381,59,"14.10.2014","Ohr",10,8,2,3.1,2.625,NA,NA,10,NA,30,20,10,NA,NA,10,20,NA
381,59,"29.07.2014","Ohr",32,32,0,2.141,2.141,6.3,6.3,21.9,21.9,15.6,15.6,6.3,3.1,3.1,NA,NA,NA
381,61,"12.10.2015","Ohr",13,12,1,2.915,2.742,NA,7.7,7.7,23.1,7.7,NA,7.7,15.4,NA,23.1,7.7,NA
381,61,"27.07.2015","Ohr",27,25,2,2.937,2.772,NA,3.7,3.7,7.4,25.9,18.5,NA,11.1,14.8,7.4,7.4,NA
401,52,"21.02.2011","Keser",15,15,0,2.036,2.036,NA,6.7,6.7,NA,NA,NA,NA,NA,6.7,NA,NA,26.7
401,53,"26.07.2011","Keser",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,60,"05.02.2015","Keser",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,60,"03.02.2015","Keser",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,61,"21.07.2015","Keser",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,59,"17.06.2014","Lay",13,13,0,2.131,2.131,NA,15.4,15.4,38.5,7.7,7.7,7.7,NA,7.7,NA,NA,NA
1427,52,"24.02.2011","Lay",18,18,0,2.128,2.128,11.1,22.2,11.1,11.1,NA,16.7,16.7,11.1,NA,NA,NA,NA
1427,54,"14.12.2011","Lay",21,20,1,1.871,1.73,19,19,19,9.5,19,9.5,NA,NA,NA,NA,NA,NA
1427,56,"20.12.2012","Lay",20,16,4,3.015,2.519,5,10,5,10,5,15,10,10,NA,10,20,NA
1427,58,"27.02.2014","Lay",19,16,3,2.647,2.206,5.3,10.5,5.3,21.1,15.8,15.8,NA,5.3,5.3,NA,15.8,NA
1427,60,"15.07.2015","Lay",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1427,60,"30.01.2015","Lay",30,29,1,2.353,2.262,NA,13.3,13.3,20,20,13.3,10,NA,NA,6.7,3.3,NA
1427,62,"01.02.2016","Lay",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1427,62,"29.01.2016","Lay",12,12,0,2.083,2.083,16.7,NA,8.3,33.3,16.7,16.7,NA,8.3,NA,NA,NA,NA
